Transaction Date,Post Date,Description,Category,Type,Amount
04/17/2020,04/19/2020,SANTA BARBARA GAS,Gas,Sale,-21.84
04/17/2020,04/19/2020,BETTINA,Food & Drink,Sale,-45.06
04/16/2020,04/17/2020,COX SANTA BARB COMM,Bills & Utilities,Sale,-46.99
04/12/2020,04/13/2020,Payment Thank You-Mobile,,Payment,1220.79
04/06/2020,04/08/2020,MISSION STREET ICE CREAM,Food & Drink,Sale,-11.26
04/07/2020,04/08/2020,GEICO  *AUTO,Bills & Utilities,Sale,-101.45
04/05/2020,04/07/2020,GELSON'S MARKETS #1,Groceries,Sale,-50.68
04/07/2020,04/07/2020,PAYPAL *EDDIE BAUER,Shopping,Sale,-2.72
04/03/2020,04/05/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-270.21
04/02/2020,04/03/2020,COSTCO WHSE #0002,Health & Wellness,Sale,-53.84
03/31/2020,04/02/2020,SOUTH COAST DELI - CHA,Food & Drink,Sale,-10.95
04/01/2020,04/02/2020,WARBY PARKER,Health & Wellness,Sale,-95.00
04/02/2020,04/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
03/27/2020,03/29/2020,AMZN Mktp US*6O0E471C3,Shopping,Sale,-22.04
03/27/2020,03/27/2020,PAYPAL *EDDIE BAUER,Shopping,Sale,-17.63
03/25/2020,03/26/2020,AMZN Mktp US*VM0VH8WV3,Shopping,Sale,-15.76
03/25/2020,03/26/2020,PAYPAL *MODERNTIMES,Food & Drink,Sale,-47.50
03/25/2020,03/26/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
03/21/2020,03/22/2020,Amazon.com*FZ3ZU6CJ3,Shopping,Sale,-21.71
03/21/2020,03/22/2020,AMZN Mktp US*RA18T7153,Shopping,Sale,-20.10
03/21/2020,03/22/2020,Amazon.com*KE0YS6QC3,Shopping,Sale,-19.89
03/19/2020,03/22/2020,SANTA BARBARA GAS,Gas,Sale,-29.94
03/18/2020,03/19/2020,COX SANTA BARB COMM,Bills & Utilities,Sale,-29.99
03/17/2020,03/19/2020,ARLINGTON THEATRE TICKETS,Entertainment,Return,297.00
03/14/2020,03/16/2020,VONS #2101,Groceries,Sale,-15.43
03/15/2020,03/16/2020,Payment Thank You - Web,,Payment,1951.60
03/14/2020,03/15/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-32.26
03/14/2020,03/15/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-103.15
03/13/2020,03/15/2020,FINCH AND FORK,Food & Drink,Sale,-19.73
03/11/2020,03/13/2020,SAIGON VIETNAMESE,Food & Drink,Sale,-14.69
03/10/2020,03/12/2020,South Coast Deli - Carril,Food & Drink,Sale,-45.77
03/10/2020,03/12/2020,CITY OF SB PARKING,Automotive,Sale,-9.00
03/10/2020,03/11/2020,FORUM,Shopping,Sale,-40.00
03/10/2020,03/11/2020,PARKING SERVICE CENTER,Bills & Utilities,Sale,-53.00
03/10/2020,03/11/2020,CLASSIC PARKING/FORUM,Travel,Sale,-30.00
03/09/2020,03/10/2020,WARBY PARKER,Health & Wellness,Sale,-95.00
03/08/2020,03/10/2020,SANTA BARBARA GAS,Gas,Sale,-27.64
03/08/2020,03/09/2020,COSTCO WHSE #0474,Shopping,Return,55.98
